TAXA,COMMON_NAME,TREE_TYPE,LAT,LONG,X,Z
thuja plicata ,western red cedar ,coniferous,49.263285,-123.258709,1864.277264333717,-998.4400713221157
thuja plicata ,western red cedar ,coniferous,49.263333,-123.258725,1865.772597283681,-1003.6930846141646
thuja plicata ,western red cedar ,coniferous,49.264059,-123.260119,1814.521697254048,-1122.7469851886603
acer macrophyllum ,big leaf maple ,deciduous,49.264115,-123.260113,1817.8480438936308,-1128.027484559767
Pseudotsuga menziesii,douglas-fir,coniferous,49.264114,-123.260233,1810.1009669244872,-1132.0547926780355
Pseudotsuga menziesii,douglas-fir,coniferous,49.264083,-123.260203,1810.3962036638618,-1127.9861563754355
acer macrophyllum ,big leaf maple ,deciduous,49.264063,-123.260194,1809.9227148387808,-1125.71720222554
styrax japonicus ,japanese snowbell,deciduous,49.261277,-123.256386,1907.767870362904,-721.8404681112431
acer palmatum ,japanese maple ,deciduous,49.259183,-123.252498,2047.120898963652,-383.01582017120006
cotinus coggygria,european smoke tree ,deciduous,49.259132,-123.252458,2047.0076794662723,-376.64370954989204
cotinus coggygria,european smoke tree ,deciduous,49.259103,-123.252434,2047.023780869589,-372.97721554770646
cotinus coggygria,european smoke tree ,deciduous,49.259085,-123.252412,2047.4893290384616,-370.45728454764765
acer platanoides ,norway maple ,deciduous,49.258931,-123.252451,2036.9003005478262,-356.7084772798678
Pseudotsuga menziesii,douglas-fir,coniferous,49.258964,-123.2525,2035.4909853984318,-361.62626702609873
cotinus coggygria,european smoke tree ,deciduous,49.259113,-123.252696,2030.7466043614888,-382.96313481570394
acer palmatum ,japanese maple ,deciduous,49.259054,-123.252772,2022.774002405467,-379.79460606931684
acer palmatum ,japanese maple ,deciduous,49.258889,-123.252728,2016.930097038843,-362.1149372645141
